Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume,Dollar
2020-08-21,2306.16,2329.34,2280.97,2304.59,2339.02,2372.17,2318.1,2206.78,2033.47,865736,1186.3
2020-08-24,2309.38,2332.33,2283.48,2329.83,2323.48,2369.98,2324.57,2211.79,2036.19,649277,1189.1
2020-08-25,2352.15,2369.78,2340.97,2366.73,2327.18,2368.02,2332.01,2216.81,2039.13,771585,1185.1
2020-08-26,2367.74,2374.68,2336.98,2369.32,2328.94,2363.08,2337.63,2221.52,2041.71,956478,1186.8
2020-08-27,2371.95,2373.36,2344.38,2344.45,2342.98,2354.29,2341.69,2224.81,2043.87,913917,1185
2020-08-28,2362.22,2379.26,2345.28,2353.8,2352.83,2345.92,2346.03,2228.18,2046.49,1297312,1184.3
2020-08-31,2377.09,2381.5,2326.06,2326.17,2352.09,2337.79,2349.87,2230.59,2049.58,1647818,1187.8
2020-09-01,2340.19,2355.9,2331.23,2349.55,2348.66,2337.92,2354.8,2233.34,2052.8,1085245,1183
2020-09-02,2363.43,2369.57,2341.29,2364.37,2347.67,2338.3,2359.02,2236.27,2056.61,1429273,1185.4
2020-09-03,2383.26,2401.78,2382.23,2395.9,2357.96,2350.47,2363.22,2239.6,2061.28,981546,1188.3
2020-09-04,2332.68,2371.02,2332.68,2368.25,2360.85,2356.84,2364.5,2242.79,2066.26,1351039,1189.6
2020-09-07,2369.85,2387.49,2362.42,2384.22,2372.46,2362.28,2366.13,2246.99,2071.84,1197385,1188.3
2020-09-08,2402.66,2407.56,2391.43,2401.91,2382.93,2365.79,2366.91,2253.18,2077.92,979357,1186.4
2020-09-09,2372.53,2388.85,2369.12,2375.81,2385.22,2366.44,2364.76,2257.14,2084.45,946247,1189.1
2020-09-10,2404.83,2406.68,2388.56,2396.48,2385.33,2371.65,2362.97,2261.4,2092.28,1064574,1184.9
2020-09-11,2389.76,2397.56,2374,2396.69,2391.02,2375.94,2360.93,2265.78,2099.2,882880,1186.9
2020-09-14,2418.33,2429.07,2410.79,2427.91,2399.76,2386.11,2361.95,2270.56,2107.08,963083,1183.5
2020-09-15,2434.59,2444.57,2423.79,2443.58,2408.09,2395.51,2366.72,2275.84,2114.02,849969,1179
2020-09-16,2442.72,2450.53,2429.94,2435.92,2420.12,2402.67,2370.49,2280.92,2120.12,772938,1176.1
2020-09-17,2430.77,2437.02,2398.69,2406.17,2422.05,2403.69,2377.08,2285,2126.12,853740,1174.4
2020-09-18,2413.53,2417.81,2396.33,2412.4,2425.2,2408.11,2382.47,2290,2131.91,756517,1160.3
2020-09-21,2412.44,2427.17,2379.38,2389.39,2417.49,2408.63,2385.45,2294.24,2137.51,1041993,1158
2020-09-22,2388.14,2388.49,2323.58,2332.59,2395.29,2401.69,2383.74,2298.23,2142.32,1051028,1165
2020-09-23,2352.56,2354.46,2287.44,2333.24,2374.76,2397.44,2381.94,2301.98,2147.72,735042,1164.4
2020-09-24,2295.62,2309.74,2268.88,2272.7,2348.06,2385.06,2378.35,2304.74,2152.29,714881,1172.7
2020-09-25,2295.19,2296.36,2267.63,2278.79,2321.34,2373.27,2374.6,2307.13,2156.9,697962,1172.3
2020-09-28,2301.16,2314.81,2291.32,2308.08,2305.08,2361.29,2373.7,2309.73,2161.2,605977,1173.6
2020-09-29,2331.51,2339.83,2320.04,2327.89,2304.14,2349.72,2372.61,2312.06,2165.4,646218,1169.5
2020-10-05,2330.55,2364.73,2327.83,2358,2309.09,2341.93,2372.3,2315.29,2169.99,763618,1163.4
2020-10-06,2369.17,2378.28,2355.39,2365.9,2327.73,2337.9,2370.8,2318.74,2174.41,861755,1161
2020-10-07,2350.82,2387.45,2347.82,2386.94,2349.36,2335.35,2371.73,2322.39,2178.79,737994,1158.2
2020-10-08,2408.49,2409.01,2383.82,2391.96,2366.14,2335.61,2372.12,2326.42,2183.51,961726,1153.3
2020-10-12,2404.18,2409.42,2393.74,2403.73,2381.31,2342.72,2372.21,2330.05,2188.07,843574,1146.8
2020-10-13,2416.85,2418.89,2385.87,2403.15,2390.34,2349.71,2373.58,2333.71,2192.62,724920,1147.1
2020-10-14,2403.74,2405.56,2375.54,2380.48,2393.25,2360.49,2372.78,2336.69,2196.5,901177,1146.9
2020-10-15,2375.91,2376.73,2348.74,2361.21,2388.11,2368.73,2371,2339.64,2200.36,1165501,1143.2
2020-10-16,2363.88,2370.73,2325.03,2341.53,2378.02,2372.08,2366.68,2341.98,2204.21,920205,1147.4
2020-10-19,2352.92,2364.25,2344.77,2346.74,2366.62,2373.96,2361.84,2344.46,2207.96,931645,1142
2020-10-20,2333.56,2358.41,2322.06,2358.41,2357.67,2374.01,2357.97,2346.62,2211.66,874293,1139.4
2020-10-21,2363.03,2371.74,2356.32,2370.86,2355.75,2374.5,2356.2,2348.99,2215.68,812837,1131.9
2020-10-22,2355.61,2360.22,2339.73,2355.05,2354.52,2371.31,2353.33,2351.3,2219.28,815612,1132.9
2020-10-23,2364.84,2368.57,2344.49,2360.81,2358.37,2368.2,2351.9,2353.97,2222.83,890385,1132.9
2020-10-26,2366.5,2374.5,2342.58,2343.91,2357.81,2362.22,2352.47,2356.08,2226.14,822268,1127.7
2020-10-27,2328.66,2349.33,2321.23,2330.84,2352.29,2354.98,2352.35,2357.31,2229.77,666942,1125.5
2020-10-28,2324.18,2345.46,2316.47,2345.26,2347.17,2351.46,2355.98,2358.67,2233.24,705770,1130.6
2020-10-29,2312.34,2330.17,2299.91,2326.67,2341.5,2348.01,2358.37,2359.67,2236.55,509768,1131.4
2020-10-30,2319.56,2320.2,2266.93,2267.15,2322.77,2340.57,2356.32,2359.97,2239.23,795585,1135.1
2020-11-02,2276.61,2302.64,2267.95,2300.16,2314.02,2335.91,2354.94,2360.78,2242.27,678501,1133.6
2020-11-03,2315.81,2344.77,2315.3,2343.31,2316.51,2334.4,2354.2,2361.84,2245.78,887445,1134.1
2020-11-04,2361.32,2371.14,2339.95,2357.32,2318.92,2333.05,2353.77,2362.6,2249.26,986786,1137.7
2020-11-05,2373.41,2413.79,2370.85,2413.79,2336.35,2338.92,2355.12,2363.78,2253.33,702037,1128.2
2020-11-06,2421.79,2431.11,2404.97,2416.5,2366.22,2344.49,2356.34,2364.86,2257.41,825569,1120.4
2020-11-09,2438.63,2459.15,2434.52,2447.2,2395.62,2354.82,2358.52,2365.88,2261.66,1354863,1113.9
2020-11-10,2453.95,2457.94,2435.59,2452.83,2417.53,2367.02,2361,2366.45,2265.59,1464168,1115.1
2020-11-11,2459.5,2488.04,2459.5,2485.87,2443.24,2381.08,2366.27,2367.34,2269.73,1272039,1110
2020-11-12,2482.68,2488.79,2467.04,2475.62,2455.6,2395.98,2371.99,2367.97,2273.7,1278692,1114.8
2020-11-13,2470.12,2495.77,2460.96,2493.87,2471.08,2418.65,2379.61,2369.41,2278.07,1072383,1115.6
2020-11-16,2507.46,2546.37,2507.46,2543.03,2490.24,2442.93,2389.42,2372.66,2282.64,1239135,1109.3
2020-11-17,2544.12,2556.09,2533.34,2539.15,2507.51,2462.52,2398.46,2375.64,2286.88,1267495,1106.6
2020-11-18,2548.85,2553.95,2536.78,2545.64,2519.46,2481.35,2407.2,2380.16,2291.17,923504,1103.8
2020-11-19,2536.89,2548.95,2529.53,2547.42,2533.82,2494.71,2416.82,2384.21,2295.49,976483,1115.6
2020-11-20,2544.06,2558.21,2539.79,2553.5,2545.75,2508.41,2426.45,2387.94,2299.86,1129501,1114.3
2020-11-23,2560.04,2605.58,2553.7,2602.59,2557.66,2523.95,2439.39,2391.87,2304.34,1649443,1110.4
2020-11-24,2616.28,2628.52,2605.03,2617.76,2573.38,2540.45,2453.73,2396.01,2308.76,1364506,1112.7
2020-11-25,2637.34,2642.26,2583.41,2601.54,2584.56,2552.01,2466.55,2400.29,2312.55,1410105,1108.9
